issue_type,book,pkl_path,paragraph_id,segment_index,pipeline,system_name,reference_pipeline,gt_length,compared_length,ratio,bleu_score,threshold,low_bleu_repetitions,total_bleu_comparisons,text_preview,reference_text_preview,message,low_bleu_references
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,76,76,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,7,32,4.571,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,76,76,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,7,25,3.571,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,76,76,kokun_the_girl_from_the_west_pipeline2_gemini,kokun_the_girl_from_the_west_pipeline2_gemini,gt,7,22,3.143,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,132,132,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,7,26,3.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,132,132,kokun_the_girl_from_the_west_pipeline3,kokun_the_girl_from_the_west_pipeline3,gt,7,26,3.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,132,132,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,7,26,3.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,132,132,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,7,26,3.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,140,140,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,23,70,3.043,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,152,152,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,68,21,3.238,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,254,254,kokun_the_girl_from_the_west_pipeline2_gemini,kokun_the_girl_from_the_west_pipeline2_gemini,gt,10,76,7.600,1.018,length=3.0;bleu=1.5,10,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 10/18 other pipeline outputs.,[withheld from public GitHub release]
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,263,263,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,8,34,4.250,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,263,263,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,8,34,4.250,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,280,280,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,14,48,3.429,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,293,293,kokun_the_girl_from_the_west_pipeline3,kokun_the_girl_from_the_west_pipeline3,gt,4,61,15.250,0.874,length=3.0;bleu=1.5,13,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 13/18 other pipeline outputs.,[withheld from public GitHub release]
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,334,334,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,7,77,11.000,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,334,334,kokun_the_girl_from_the_west_pipeline3,kokun_the_girl_from_the_west_pipeline3,gt,7,81,11.571,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,334,334,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,7,72,10.286,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,334,334,kokun_the_girl_from_the_west_pipeline2_gemini,kokun_the_girl_from_the_west_pipeline2_gemini,gt,7,75,10.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,335,335,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,13,92,7.077,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,342,342,kokun_the_girl_from_the_west_pipeline3,kokun_the_girl_from_the_west_pipeline3,gt,30,98,3.267,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,342,342,kokun_the_girl_from_the_west_pipeline2_gemini,kokun_the_girl_from_the_west_pipeline2_gemini,gt,30,100,3.333,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,344,344,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,22,67,3.045,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,344,344,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,22,74,3.364,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,437,437,kokun_the_girl_from_the_west_pipeline2_gemini,kokun_the_girl_from_the_west_pipeline2_gemini,gt,76,22,3.455,0.021,length=3.0;bleu=1.5,16,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 16/18 other pipeline outputs.,[withheld from public GitHub release]
length,mona_s_eyes,par3_dataset/eval/mona_s_eyes/mona_s_eyes.pkl,121,121,mona_s_eyes_pipeline2_gemini,mona_s_eyes_pipeline2_gemini,gt,10,31,3.100,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,13,13,my_grandfather_the_master_detective_pipeline1_gpt54_high,my_grandfather_the_master_detective_pipeline1_gpt54_high,gt,45,149,3.311,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,103,103,my_grandfather_the_master_detective_pipeline3,my_grandfather_the_master_detective_pipeline3,gt,43,169,3.930,0.743,length=3.0;bleu=1.5,9,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 9/18 other pipeline outputs.,[withheld from public GitHub release]
bleu,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,145,145,my_grandfather_the_master_detective_pipeline1_gemini,my_grandfather_the_master_detective_pipeline1_gemini,my_grandfather_the_master_detective_pipeline1_gpt54_high,,,,1.292,1.5,11,18,[withheld from public GitHub release],[withheld from public GitHub release],Pipeline has low BLEU against 11/18 other pipeline outputs.,[withheld from public GitHub release]
both,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,226,226,my_grandfather_the_master_detective_pipeline1_gpt54_high,my_grandfather_the_master_detective_pipeline1_gpt54_high,gt,60,7,8.571,0.003,length=3.0;bleu=1.5,15,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 15/18 other pipeline outputs.,[withheld from public GitHub release]
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,325,325,my_grandfather_the_master_detective_pipeline3,my_grandfather_the_master_detective_pipeline3,gt,4,37,9.250,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,325,325,my_grandfather_the_master_detective_pipeline2_gemini,my_grandfather_the_master_detective_pipeline2_gemini,gt,4,39,9.750,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,394,394,my_grandfather_the_master_detective_pipeline1_gemini,my_grandfather_the_master_detective_pipeline1_gemini,gt,7,31,4.429,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,405,405,my_grandfather_the_master_detective_pipeline3,my_grandfather_the_master_detective_pipeline3,gt,28,9,3.111,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,412,412,my_grandfather_the_master_detective_pipeline1_gpt54_high,my_grandfather_the_master_detective_pipeline1_gpt54_high,gt,20,66,3.300,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,my_grandfather_the_master_detective,par3_dataset/eval/my_grandfather_the_master_detective/my_grandfather_the_master_detective.pkl,412,412,my_grandfather_the_master_detective_pipeline2_gpt54_high,my_grandfather_the_master_detective_pipeline2_gpt54_high,gt,20,68,3.400,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,needle_s_eye,par3_dataset/eval/needle_s_eye/needle_s_eye.pkl,122,122,needle_s_eye_pipeline2_gemini,needle_s_eye_pipeline2_gemini,gt,48,13,3.692,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,needle_s_eye,par3_dataset/eval/needle_s_eye/needle_s_eye.pkl,122,122,needle_s_eye_pipeline3,needle_s_eye_pipeline3,gt,48,13,3.692,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,needle_s_eye,par3_dataset/eval/needle_s_eye/needle_s_eye.pkl,152,152,needle_s_eye_pipeline3,needle_s_eye_pipeline3,gt,35,8,4.375,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,needle_s_eye,par3_dataset/eval/needle_s_eye/needle_s_eye.pkl,153,153,needle_s_eye_pipeline3,needle_s_eye_pipeline3,gt,26,87,3.346,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,56,56,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,14,122,8.714,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,58,58,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,52,17,3.059,0.285,length=3.0;bleu=1.5,12,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 12/18 other pipeline outputs.,[withheld from public GitHub release]
both,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,60,60,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,129,39,3.308,0.629,length=3.0;bleu=1.5,13,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 13/18 other pipeline outputs.,[withheld from public GitHub release]
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,95,95,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,7,34,4.857,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,95,95,sisters_in_yellow_pipeline2_gpt54_high,sisters_in_yellow_pipeline2_gpt54_high,gt,7,30,4.286,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,95,95,sisters_in_yellow_pipeline1_gpt54_high,sisters_in_yellow_pipeline1_gpt54_high,gt,7,32,4.571,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,95,95,sisters_in_yellow_pipeline2_gemini,sisters_in_yellow_pipeline2_gemini,gt,7,34,4.857,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,106,106,sisters_in_yellow_pipeline1_gemini,sisters_in_yellow_pipeline1_gemini,gt,20,71,3.550,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,122,122,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,30,6,5.000,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,128,128,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,6,52,8.667,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,128,128,sisters_in_yellow_pipeline1_gemini,sisters_in_yellow_pipeline1_gemini,gt,6,57,9.500,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,128,128,sisters_in_yellow_pipeline1_gpt54_high,sisters_in_yellow_pipeline1_gpt54_high,gt,6,19,3.167,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,128,128,sisters_in_yellow_pipeline2_gemini,sisters_in_yellow_pipeline2_gemini,gt,6,77,12.833,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,185,185,sisters_in_yellow_pipeline2_gpt54_high,sisters_in_yellow_pipeline2_gpt54_high,gt,24,100,4.167,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,195,195,sisters_in_yellow_pipeline3,sisters_in_yellow_pipeline3,gt,13,45,3.462,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,195,195,sisters_in_yellow_pipeline2_gpt54_high,sisters_in_yellow_pipeline2_gpt54_high,gt,13,55,4.231,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,sisters_in_yellow,par3_dataset/eval/sisters_in_yellow/sisters_in_yellow.pkl,195,195,sisters_in_yellow_pipeline2_gemini,sisters_in_yellow_pipeline2_gemini,gt,13,49,3.769,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,70,70,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,15,59,3.933,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
bleu,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,96,96,the_ark_pipeline1_gemini,the_ark_pipeline1_gemini,the_ark_pipeline3,,,,0.106,1.5,12,18,[withheld from public GitHub release],[withheld from public GitHub release],Pipeline has low BLEU against 12/18 other pipeline outputs.,[withheld from public GitHub release]
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,154,154,the_ark_pipeline2_gpt54_high,the_ark_pipeline2_gpt54_high,gt,24,91,3.792,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,158,158,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,68,5,13.600,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,173,173,the_ark_pipeline3,the_ark_pipeline3,gt,21,77,3.667,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,173,173,the_ark_pipeline1_gemini,the_ark_pipeline1_gemini,gt,21,83,3.952,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,173,173,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,21,86,4.095,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,173,173,the_ark_pipeline2_gpt54_high,the_ark_pipeline2_gpt54_high,gt,21,82,3.905,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,173,173,the_ark_pipeline2_gemini,the_ark_pipeline2_gemini,gt,21,88,4.190,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,195,195,the_ark_pipeline2_gemini,the_ark_pipeline2_gemini,gt,14,43,3.071,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,235,235,the_ark_pipeline1_gpt54_high,the_ark_pipeline1_gpt54_high,gt,15,87,5.800,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_ark,par3_dataset/eval/the_ark/the_ark.pkl,265,265,the_ark_pipeline2_gemini,the_ark_pipeline2_gemini,gt,25,78,3.120,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
